date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:49:26	2312/2312	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Apr%202018%2017:49:25%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fhours%2F&format=xml	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embedc5c1	(from https://chestnutfeedery.com/hours/)
13:49:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2013%20Apr%202018%2017:49:25%20GMT	https://chestnutfeedery.com/?p=11	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/index5757.html	(from https://chestnutfeedery.com/small-stock/)
13:49:26	2245/2245	---MC-	200	added ('OK')	application/json	date:Fri,%2013%20Apr%202018%2017:49:25%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fsmall-stock%2F	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embed0c68.json	(from https://chestnutfeedery.com/small-stock/)
13:49:27	2342/2342	---MCZ	200	added ('OK')	text/xml	date:Fri,%2013%20Apr%202018%2017:49:26%20GMT	https://chestnutfeedery.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fchestnutfeedery.com%2Fsmall-stock%2F&format=xml	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-json/oembed/1.0/embedf90d	(from https://chestnutfeedery.com/small-stock/)
13:49:29	45887/45887	---M--	200	added ('OK')	image/jpeg	date:Sat,%2005%20Dec%202015%2017:02:16%20GMT	https://chestnutfeedery.com/wp-content/uploads/2015/12/beautiful-horse1-1000x288.jpg	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-content/uploads/2015/12/beautiful-horse1-1000x288.jpg	(from https://chestnutfeedery.com/horse/)
13:49:30	10463/10463	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:49:26%20GMT	https://chestnutfeedery.com/2016/04/15/koi-have-arrived/	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/2016/04/15/koi-have-arrived/index.html	(from https://chestnutfeedery.com/page/2/)
13:49:49	115143/115143	---M--	200	added ('OK')	image/png	date:Thu,%2017%20Mar%202016%2018:41:42%20GMT	https://chestnutfeedery.com/wp-content/uploads/2016/03/serinteruppt_dog.png	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-content/uploads/2016/03/serinteruppt_dog.png	(from https://chestnutfeedery.com/page/2/)
13:49:49	125838/125838	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Apr%202016%2014:10:30%20GMT	https://chestnutfeedery.com/wp-content/uploads/2016/04/small-koi-fish-in-aquairum-1024x768.jpg	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-content/uploads/2016/04/small-koi-fish-in-aquairum-1024x768.jpg	(from https://chestnutfeedery.com/page/2/)
13:49:57	205986/205986	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Apr%202016%2014:10:29%20GMT	https://chestnutfeedery.com/wp-content/uploads/2016/04/small-koi-fish-in-aquairum.jpg	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/wp-content/uploads/2016/04/small-koi-fish-in-aquairum.jpg	(from https://chestnutfeedery.com/page/2/)
13:49:58	12165/12165	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:49:48%20GMT	https://chestnutfeedery.com/category/fish/	C:/My%20Web%20Sites/ChestnutFeedery/chestnutfeedery.com/category/fish/index.html	(from https://chestnutfeedery.com/page/2/)
